Series ID,State ID,,,Series name,State name,"Jan
2020","Feb
2020","Mar
2020","Apr
2020","May
2020","Jun
2020","Jul
2020","Aug
2020","Sep
2020","Oct
2020","Nov
2020","Dec
2020","Jan
2021","Feb
2021","Mar
2021","Apr
2021","May
2021","Jun
2021","Jul
2021","Aug
2021","Sep
2021","Oct
2021","Nov
2021","Dec
2021"
JTS000000090000000QUL,09,9,JTSQUL,"Quits levels, seasonally adjusted",Connecticut,34,30,26,22,18,25,27,23,27,27,29,29,27,26,32,29,24,34,38,35,,,,
JTU000000090000000QUL,09,9,JTUQUL,"Quits levels, not seasonally adjusted",Connecticut,37,24,21,23,17,27,30,33,29,29,23,23,29,19,29,30,23,36,42,45,,,,
JTS000000090000000QUR,09,9,JTSQUR,"Quits rate, seasonally adjusted",Connecticut,2,1.8,1.5,1.6,1.3,1.7,1.8,1.5,1.7,1.7,1.8,1.8,1.7,1.7,2,1.8,1.5,2.1,2.4,2.2,,,,
JTU000000090000000QUR,09,9,JTUQUR,"Quits rate, not seasonally adjusted",Connecticut,2.2,1.4,1.3,1.6,1.2,1.8,2,2.2,1.8,1.8,1.4,1.5,1.9,1.2,1.9,1.9,1.5,2.3,2.6,2.8,,,,
JTS000000100000000QUL,10,10,JTSQUL,"Quits levels, seasonally adjusted",Delaware,14,11,10,10,8,9,11,12,11,13,13,13,13,12,13,17,12,12,14,15,,,,
JTU000000100000000QUL,10,10,JTUQUL,"Quits levels, not seasonally adjusted",Delaware,15,10,8,9,8,8,12,16,13,15,11,11,15,10,11,16,11,11,15,19,,,,
JTS000000100000000QUR,10,10,JTSQUR,"Quits rate, seasonally adjusted",Delaware,3,2.4,2.1,2.5,2,2.1,2.5,2.7,2.5,2.9,2.9,2.9,2.9,2.7,2.9,3.8,2.7,2.7,3.1,3.3,,,,
JTU000000100000000QUR,10,10,JTUQUR,"Quits rate, not seasonally adjusted",Delaware,3.4,2.3,1.8,2.2,1.9,1.9,2.7,3.5,2.9,3.3,2.6,2.4,3.4,2.4,2.4,3.5,2.5,2.4,3.3,4.1,,,,
JTS000000110000000QUL,11,11,JTSQUL,"Quits levels, seasonally adjusted",District of Columbia,14,13,11,10,12,13,8,13,13,14,14,14,13,14,14,14,15,14,13,13,,,,
JTU000000110000000QUL,11,11,JTUQUL,"Quits levels, not seasonally adjusted",District of Columbia,16,10,9,9,12,13,14,19,11,15,11,11,15,10,12,14,15,14,16,19,,,,
JTS000000110000000QUR,11,11,JTSQUR,"Quits rate, seasonally adjusted",District of Columbia,1.7,1.6,1.4,1.4,1.7,1.8,1.1,1.8,1.8,1.9,1.9,1.9,1.8,1.9,1.9,1.9,2,1.9,1.7,1.7,,,,
JTU000000110000000QUR,11,11,JTUQUR,"Quits rate, not seasonally adjusted",District of Columbia,2,1.2,1.1,1.3,1.6,1.8,1.9,2.6,1.5,2.1,1.5,1.5,2,1.4,1.6,1.8,2.1,1.9,2.1,2.5,,,,
JTS000000120000000QUL,12,12,JTSQUL,"Quits levels, seasonally adjusted",Florida,227,229,219,137,126,193,219,193,224,260,230,220,227,238,237,238,236,222,269,264,,,,
JTU000000120000000QUL,12,12,JTUQUL,"Quits levels, not seasonally adjusted",Florida,226,193,207,155,142,215,245,220,214,257,194,202,227,202,224,254,256,243,303,300,,,,
JTS000000120000000QUR,12,12,JTSQUR,"Quits rate, seasonally adjusted",Florida,2.5,2.5,2.4,1.8,1.6,2.3,2.6,2.3,2.6,3.1,2.7,2.6,2.7,2.8,2.8,2.8,2.7,2.6,3.1,3,,,,
JTU000000120000000QUR,12,12,JTUQUR,"Quits rate, not seasonally adjusted",Florida,2.5,2.1,2.3,2,1.8,2.6,3,2.6,2.6,3,2.3,2.4,2.7,2.4,2.6,3,3,2.8,3.5,3.4,,,,
