state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
1,AL,2021,1,0.5443476970764055,0.04448571689216174,0.7497606082178919,2014.3,1631.2,1993.8,1611.4,416735.9032258064,6025,0.08491012124695398,0.0012275963663147557,0,0,50,50,2.5,2.5
1,AL,2021,2,0.5443893236057942,0.04376015360421431,0.754699826156951,2020.9,1637,2010.4,1623.8,479861,9102.964285714286,0.09777188712633444,0.0018547329261138345,0,0,57,49,2.8,2.4
1,AL,2021,3,0.537320157554999,0.043555016688060916,0.7341113913339824,2023.5,1638.7,2021.2,1633.1,506504.4516129032,10323.322580645161,0.10320050196219883,0.0021033814586381852,9.374193548387098,6.849532416881014,55,52,2.7,2.6
1,AL,2021,4,0.5471364940329415,0.04242589933711744,0.7449791788276116,2007.8,1622.3,2010.6,1620.8,521578.3,10750.233333333334,0.10627180511678465,0.0021903647098814546,18.313333333333333,15.542849197037365,61,64,3,3.2
1,AL,2021,5,0.5408499930708432,0.036811669435263004,0.746764595699389,2007.8,1626,2014.7,1630,536903.8387096775,11036,0.10939439028389107,0.002248589792306995,27.025806451612905,26.414852171959907,50,55,2.5,2.7
1,AL,2021,6,0.5331145734871803,0.041411294657451796,0.7285309134013083,2023.9,1638.7,2028,1646.6,547879.7666666667,11273.466666666667,0.11163074037134875,0.002296973728758593,30.85333333333333,31.299062107653086,60,65,3,3.2
1,AL,2021,7,0.5537252625479959,0.03548906231816972,0.7638208164342217,2028.8,1641.5,2022.6,1647.3,561594.9032258064,11433.58064516129,0.11442520540097707,0.002329597021405265,33.54516129032258,34.555012389339055,58,67,2.9,3.3
1,AL,2021,8,0.5444097805241687,0.03930254220210741,0.7587037062165038,2032.8,1645,2025.4,1644.3,639499.3870967742,11844.258064516129,0.13029827781917233,0.002413272723932654,35.83548387096774,37.2549069906629,62,72,3.1,3.6
1,AL,2021,9,0.5495678294359224,0.029090501310332497,0.7571752465102904,2044.2,1655.9,2043,1654.3,704420,12291,0.14352588088953364,0.0025042965872821015,38.4,40.2104916976613,NA,NA,NA,NA
2,AK,2020,1,0.5951690465504005,0.052447642939507565,0.7549961470700992,329.4,250,310.9,232.2,NA,NA,NA,NA,NA,NA,13,8,3.9,2.7
2,AK,2020,2,0.6022135011771195,0.030158568526344603,0.7667895927026188,329.8,250.5,317.3,237.3,NA,NA,NA,NA,NA,NA,13,6,3.9,2
2,AK,2020,3,0.5961325482549417,0.05250848159158639,0.7739104813514461,328.7,249.2,316.9,236.6,42.55,0.4,5.800139857661433e-5,5.452540406732252e-7,NA,NA,9,6,2.7,1.8
2,AK,2020,4,0.5296902918089136,0.11517330784576092,0.710798789342087,284.5,209.9,278.1,202,274.3666666666667,5.766666666666667,3.739988340651097e-4,7.860745753038996e-6,NA,NA,7,4,2.5,1.6
2,AK,2020,5,0.5361004583656301,0.12108741612751449,0.7194068324893563,283.3,210.4,288.5,213.7,395.35483870967744,7.838709677419355,5.389220582654071e-4,1.0685220313193041e-5,NA,NA,5,5,1.8,1.9
2,AK,2020,6,0.5590582129317627,0.12408472515727077,0.731494569356809,284.2,211.5,301.8,228.2,766.7666666666667,9.7,0.0010452065581338498,1.322241048632571e-5,NA,NA,7,8,2.5,2.7
